animal,A -> A,"('do you think the animal like your new house', 'Mother')","[0, ('and what be this little dog do', 'Mother'), 'dog']",,
animal,A -> A,"('be the animal go for a ride with the farm', 'Mother')","[0, ('but it a fun one because they be blue cat be they', 'Mother'), 'cat']",,
animal,A -> A,"('remember all her animal', 'Mother')","[0, ('can you find the mama bunny', 'Mother'), 'bunny']",,
animal,A -> A,"('what be the animal hold', 'Mother')","[0, ('do you catch Miriam', 'Mother'), 'cat']",,
animal,A -> A,"('as soon as the dwarf go to work the queen disguise as a peddle woman approach Snow White the forest animal recognize the queen and run off to warn the dwarf', 'Mother')","[0, ('do you want Daddy to throw the ball to you and you can catch it', 'Mother'), 'cat']",,
animal,A -> A,"('what other animal do you fix', 'Mother')","[0, ('he such a nice dog', 'Mother'), 'dog']",,
animal,A -> A,"('you wanna talk to the animal', 'Mother')","[0, ('pig go oink oink', 'Mother'), 'pig']",,
animal,A -> A,"('animal', 'Mother')","[0, ('pig', 'Mother'), 'pig']",,
animal,A -> A,"('here some animal in here', 'Mother')","[0, ('purple purple cat', 'Mother'), 'cat']",,
animal,A -> A,"('okay feed the animal', 'Mother')","[0, ('say cow', 'Mother'), 'cow']",,
animal,A -> A,"('what kind of animal', 'Mother')","[0, ('show mommy a pig', 'Mother'), 'pig']",,
animal,A -> A,"('fox you can stay in the forest and eat wild animal but not our chick', 'Mother')","[0, ('that dog be trouble', 'Mother'), 'dog']",,
animal,A -> A,"('good_night animal', 'Mother')","[0, ('that dog chew on a sneaker', 'Mother'), 'dog']",,
animal,A -> A,"('what other animal be in there', 'Mother')","[0, ('that look like a baby cow', 'Mother'), 'cow']",,
animal,A -> A,"('animal we might find at the zoo', 'Mother')","[0, ('that not the cow', 'Mother'), 'cow']",,
animal,A -> A,"('what animal', 'Mother')","[0, ('this little pig go to market', 'Mother'), 'pig']",,
animal,A -> A,"('put away your animal', 'Mother')","[0, ('who catch a crooked mouse', 'Mother'), 'cat']",,
animal,A -> A,"('you know many of these animal', 'Mother')","[0, ('you a cow', 'Mother'), 'cow']",,
animal,A -> A,"('no animal live in it', 'Mother')","[0, ('your cow name be Pansy', 'Mother'), 'cow']",,
